,ground_truth,answer,question,contexts
18,18,"Rinse red lentils under cold water and soak for 20 minutes, then drain and rinse again.
In a large saucepan, cook over medium-high heat.
Add oil, onion, carrots, celery and garlic. Cook until vegetables are tender.
Add curry powder and lentils; stir to coat.
Reduce heat to low.
Simmer for 15 minutes or until liquid is absorbed by the lentil mixture.","olive oil,onion,carrots,celery,garlic,ginger,curry powder,red lentils,vegetable broth","Mayonnaise (plain or flavored)  
Ranch or other salad dressings  
Salsa 
Guacamole  
Mashed beans  
 
Protein:  
Deli meat  
Grilled chicken  
Cooked egg  
Sausage  
Roasted turkey or other meat  
Tuna  
Cheese  
Beans  
Tofu  
Veggie Burgers 
Egg salad (or chicken salad)  
Lentils  
 
Vegetables:  
Lettuce  
SpinachMayonnaise (plain or flavored)  
Ranch or other salad dressings  
Salsa 
Guacamole  
Mashed beans  
 
Protein:  
Deli meat  
Grilled chicken  
Cooked egg  
Sausage  
Roasted turkey or other meat  
Tuna  
Cheese  
Beans  
Tofu  
Veggie Burgers 
Egg salad (or chicken salad)  
Lentils  
 
Vegetables:  
Lettuce  
Spinach"
19,19,"1 cup brown sugar (white or light brown)
2 tsp baking soda
5 Tbsp vegetable oil
4 cups milk (whole milk)
3 large eggs
3 Tbsp vanilla extract
6 tsp cinnamon
6 tsp nutmeg, freshly grated
1/2 tsp salt
Walnuts, chopped 1 cup","wheat,Sugar,Milk,Vanilla essence,salt","Baking soda 1 tsp
Brown sugar 1 cup
Vanilla essence 1 tsp
Olive oil 1/2 cup
Milk 1 cup
Vinegar (you can also use  2 tsp
 lemon juice)
Banana (ripe) 3
Cardamon powder 1 tsp
Salt 1 tsp
Walnuts (optional) 1/2 cup
BACK TO INDEXBaking soda 1 tsp
Brown sugar 1 cup
Vanilla essence 1 tsp
Olive oil 1/2 cup
Milk 1 cup
Vinegar (you can also use  2 tsp
 lemon juice)
Banana (ripe) 3
Cardamon powder 1 tsp
Salt 1 tsp
Walnuts (optional) 1/2 cup
BACK TO INDEX"
20,20,"
Place all of these ingredients in a bowl with enough water to cover them. Bring the liquid to boil, then remove from heat and let it cool until it thickens. Then add more hot water, mix well and place dough in an oiled bowl. Cover with foil and leave for 24 hours, or overnight, if possible.""

Do you want me to generate a recipe using the ingredients provided?","Salt,dry yeast,Sugar,Olive oil,Mixed herbs,Chilli flakes,bell peppers","Baking soda 1 tsp
Brown sugar 1 cup
Vanilla essence 1 tsp
Olive oil 1/2 cup
Milk 1 cup
Vinegar (you can also use  2 tsp
 lemon juice)
Banana (ripe) 3
Cardamon powder 1 tsp
Salt 1 tsp
Walnuts (optional) 1/2 cup
BACK TO INDEXBaking soda 1 tsp
Brown sugar 1 cup
Vanilla essence 1 tsp
Olive oil 1/2 cup
Milk 1 cup
Vinegar (you can also use  2 tsp
 lemon juice)
Banana (ripe) 3
Cardamon powder 1 tsp
Salt 1 tsp
Walnuts (optional) 1/2 cup
BACK TO INDEX"
21,21,"
Mix cream, cream cheese, red color until well blended and frothy. Pour into ice cream maker and freeze according to manufacturer's instructions.""","Fresh cream,Cream cheese,Red colour",Brownie....................................................................................................................................................................Red Velvet Ice cream .........................................................................................................................................................Butterscotch IceBrownie....................................................................................................................................................................Red Velvet Ice cream .........................................................................................................................................................Butterscotch Ice
22,22,"Mix 2 cups of water, 1 teaspoon baking soda (dry) with sugar in a deep bowl. Whisk it well and let it sit at least 6 hours or overnight. Next, heat the oven to 350°F. Line an 8-inch square cake pan with parchment paper. Pour the batter into the prepared pan. You will have enough batter for a full-sized cake. Bake until golden brown at 40 minutes. Then take it out of the oven and let it cool. Next, you can make walnut cream sauce (optional).
Walnuts (optional) 1/2 cup (you may use either chopped or sliced walnuts). Mash the walnuts using a sp","Brown sugar,Powdered sugar,Vanilla essence,Maida,Baking soda,Corn,chocolate,Milk","Baking soda 1 tsp
Brown sugar 1 cup
Vanilla essence 1 tsp
Olive oil 1/2 cup
Milk 1 cup
Vinegar (you can also use  2 tsp
 lemon juice)
Banana (ripe) 3
Cardamon powder 1 tsp
Salt 1 tsp
Walnuts (optional) 1/2 cup
BACK TO INDEXBaking soda 1 tsp
Brown sugar 1 cup
Vanilla essence 1 tsp
Olive oil 1/2 cup
Milk 1 cup
Vinegar (you can also use  2 tsp
 lemon juice)
Banana (ripe) 3
Cardamon powder 1 tsp
Salt 1 tsp
Walnuts (optional) 1/2 cup
BACK TO INDEX"
23,23,"Clean and wash prawns in water. Drain completely. 
Dry them with a clean cloth or paper towel for about 5 minutes, after removing excess moisture. Add salt for marinating prawn","Jaggery,Red chilli powder,Onion,Black,salt,Ground Methi","½ capsicum + 1 green chilli + ½ cup  water measured in big sized coﬀee mug)Khaskhas/ poppy seeds paste (8-10 tsp  poppy seeds + ½ cup water  measured in big sized coﬀee mug)Onion paste 1 onion
Green chillies As per taste
Turmeric / haldi 1 tsp 
Salt {1 tsp salt for marinating prawns  3 tsp  and 2 tsp salt for cooking}Red chilli powder 1 tsp 
Mustard oil 2 tsp
Note
Cover the top with parchment paper to avoid ice crystal on top.
BACK TO INDEX½ capsicum + 1 green chilli + ½ cup  water measured in big sized coﬀee mug)Khaskhas/ poppy seeds paste (8-10 tsp  poppy seeds + ½ cup water  measured in big sized coﬀee mug)Onion paste 1 onion
Green chillies As per taste
Turmeric / haldi 1 tsp 
Salt {1 tsp salt for marinating prawns  3 tsp  and 2 tsp salt for cooking}Red chilli powder 1 tsp 
Mustard oil 2 tsp
Note
Cover the top with parchment paper to avoid ice crystal on top.
BACK TO INDEX"
24,24,"To make banana muffins without overmixing the batter (causes a dense, dry finish), creamy consistency for frosting, etc., gently fold flour into wet ingredients. ","Banana,Egg,Baking powder,Sugar","1 ¾ c flour  
¼ cup sugar or mashed ripe bananas  
2 tsp. baking powder  
½ tsp. salt  
¾ cup milk  
1/3 cup oil (or substitute with plain low -fat Greek or regular yogurt)  
1 egg lightly beaten1 ¾ c flour  
¼ cup sugar or mashed ripe bananas  
2 tsp. baking powder  
½ tsp. salt  
¾ cup milk  
1/3 cup oil (or substitute with plain low -fat Greek or regular yogurt)  
1 egg lightly beaten"
25,25,"Mix all dry ingredients together with a whisk until well combined. Then put the candy molds on a cookie sheet that has been covered in aluminum foil. Add the butter to the powdered sugar and mix it completely by hand, then pour the mixture into the mold.
Cover with plastic wrap and chill at room temperature overnight and enjoy!"", ""The recipe is a great way to make homemade chocolate covered marshmallows.""]","Powdered sugar,Baking soda,Baking powder,Dark chocolate,Aluminum foil,Butter,Milk","Sugar syrup 1/2 cup powdered sugar + 
   2 tsp lemon juice)
Baking powder 1 tsp 
Baking soda 1/4th tsp 
Cocoa powder 1 tsp 
Coﬀee powder 1 tsp 
Milk 3 cups 
Butter 1 cup 
BACK TO INDEXSugar syrup 1/2 cup powdered sugar + 
   2 tsp lemon juice)
Baking powder 1 tsp 
Baking soda 1/4th tsp 
Cocoa powder 1 tsp 
Coﬀee powder 1 tsp 
Milk 3 cups 
Butter 1 cup 
BACK TO INDEX"
26,26,Add all the ingredients to a bowl and mix well.,"Salt,Black pepper,Green chatni,coriander leaves,lemon juice,Ginger,garlic paste","½ capsicum + 1 green chilli + ½ cup  water measured in big sized coﬀee mug)Khaskhas/ poppy seeds paste (8-10 tsp  poppy seeds + ½ cup water  measured in big sized coﬀee mug)Onion paste 1 onion
Green chillies As per taste
Turmeric / haldi 1 tsp 
Salt {1 tsp salt for marinating prawns  3 tsp  and 2 tsp salt for cooking}Red chilli powder 1 tsp 
Mustard oil 2 tsp
Note
Cover the top with parchment paper to avoid ice crystal on top.
BACK TO INDEX½ capsicum + 1 green chilli + ½ cup  water measured in big sized coﬀee mug)Khaskhas/ poppy seeds paste (8-10 tsp  poppy seeds + ½ cup water  measured in big sized coﬀee mug)Onion paste 1 onion
Green chillies As per taste
Turmeric / haldi 1 tsp 
Salt {1 tsp salt for marinating prawns  3 tsp  and 2 tsp salt for cooking}Red chilli powder 1 tsp 
Mustard oil 2 tsp
Note
Cover the top with parchment paper to avoid ice crystal on top.
BACK TO INDEX"
27,27,"To make Tandoori Chicken you need to marinate chicken in a mixture of yogurt, lemon juice or vinegar, cumin seeds, garam masala, cayenne pepper and salt for at","Cooking oil,Butter,Cumin seeds,Chicken gizzard,Turmeric,Chicken tandoori masala,tomatoes,onions,green chillies,Coriander leaves,Ginger,Garlic","One full chicken (remove the skin) 1 kg
Cooking oil 2 tsp
Butter 3 -4 tsp
Cumin seeds/ shahi jeera 2 1/2 tsp
Chicken liver and gizzard 200 gm each
Turmeric/haldi 2 tsp
Chicken tandoori masala 2 tspChopped tomatoes 2
Chopped onions 2
Chopped green chillies 3 - 4
Coriander leaves Handful
Ginger 8 - 10 gm
Garlic 8 -10 gm
Mint leaves (optional) Handful
BACK TO INDEXOne full chicken (remove the skin) 1 kg
Cooking oil 2 tsp
Butter 3 -4 tsp
Cumin seeds/ shahi jeera 2 1/2 tsp
Chicken liver and gizzard 200 gm each
Turmeric/haldi 2 tsp
Chicken tandoori masala 2 tspChopped tomatoes 2
Chopped onions 2
Chopped green chillies 3 - 4
Coriander leaves Handful
Ginger 8 - 10 gm
Garlic 8 -10 gm
Mint leaves (optional) Handful
BACK TO INDEX"
28,28,"Dissolve 1 teaspoon of salt in 200ml water and bring to a boil.Add all the ingredients except pumpkin and cook for 30 minutes or until thickened.Mash slightly before adding pumpkin."",You can also add onion,garlic,ginger and chili powder to taste.""
Thank you!","Onion,Ginger,garlic,pumpkin,Vegetable stock,Chilli powder","Red chilli powder 1 tspHaldi 1/2 tsp
Dhaniya powder 3/4 tspCumin powder  1/2 tspGaram masala 1/4 tspGreen chillies  1-2
 (chopped)
Ginger 1 inch
Garlic 2-3 cloves
BACK TO INDEXRed chilli powder 1 tspHaldi 1/2 tsp
Dhaniya powder 3/4 tspCumin powder  1/2 tspGaram masala 1/4 tspGreen chillies  1-2
 (chopped)
Ginger 1 inch
Garlic 2-3 cloves
BACK TO INDEX"
29,29,"Mix sugar with vinegar in a large bowl; let it stand overnight. After 24 hours, add water and cardamom to the solution and mix well. Add fitkari and maida to the solution and mix until well combined. Pour mixture into a greased pan or loaf tray and bake at 300 degree Fahrenheit for one hour.""","Sugar,Vinegar,Water,Cardamom,Fitkari,Maida","Baking soda 1 tsp
Brown sugar 1 cup
Vanilla essence 1 tsp
Olive oil 1/2 cup
Milk 1 cup
Vinegar (you can also use  2 tsp
 lemon juice)
Banana (ripe) 3
Cardamon powder 1 tsp
Salt 1 tsp
Walnuts (optional) 1/2 cup
BACK TO INDEXBaking soda 1 tsp
Brown sugar 1 cup
Vanilla essence 1 tsp
Olive oil 1/2 cup
Milk 1 cup
Vinegar (you can also use  2 tsp
 lemon juice)
Banana (ripe) 3
Cardamon powder 1 tsp
Salt 1 tsp
Walnuts (optional) 1/2 cup
BACK TO INDEX"
30,30,Pour lime juice into a large resealable plastic bag. Add 2/3 cup up fat free Italian salad dressing and mix well. Pour 1 tsp garlic salt in a bowl and set,"Italian salad dressing,garlic,dried basil,dried thyme,salt,pepper,boneless chicken breasts","87 
 
 
 Lime Herb Chicken  
 
1 cup  lime juice  
2/3 c up fat free Italian salad dressing  
2 tsp. minced garlic (tsp. garlic salt)  
2 tsp. dried basil  
1 tsp. dried thyme  
½ tsp. salt  
½ tsp. pepper  
3-4 boneless, skinless chicken breasts  
 
1. In a bowl, c ombine first seven ingredients and mix well. Pour 1 cup marinade into a large 
reseal- able  plastic bag. A dd the chicken  to the mixture . Seal bag and turn to coat.87 
 
 
 Lime Herb Chicken  
 
1 cup  lime juice  
2/3 c up fat free Italian salad dressing  
2 tsp. minced garlic (tsp. garlic salt)  
2 tsp. dried basil  
1 tsp. dried thyme  
½ tsp. salt  
½ tsp. pepper  
3-4 boneless, skinless chicken breasts  
 
1. In a bowl, c ombine first seven ingredients and mix well. Pour 1 cup marinade into a large 
reseal- able  plastic bag. A dd the chicken  to the mixture . Seal bag and turn to coat."
31,31,"Instructions:

1. Heat milk over medium heat to 130°F. (This is very important because oats must be cooked in hot liquid.)
2. Remove from heat and add chia seeds, vanilla and salt. Stir until smooth.
3. Pour into a bowl with the following mix -ins (optional).
4. Serve as a breakfast bowl, cereal or snack.

This","sugar,whole wheat flour,orange juice","½ cup  rolled oats  
2/3 cup milk of choice (if using soy, rice, almond, or another non -dairy milk use unsweetened)  
1 tbsp. chia seeds or ground flax seeds  
½ tsp. vanilla extract  
Pinch of salt  
Up to 2 tbsp. honey or maple syrup  
 
Optional Mix -ins (these can be added before refrigerating or as toppings later) : 
Fruit (bananas, berries , peaches, apple chunks ) 
Nut butter  
Cocoa powder  
Coconut  
Nuts½ cup  rolled oats  
2/3 cup milk of choice (if using soy, rice, almond, or another non -dairy milk use unsweetened)  
1 tbsp. chia seeds or ground flax seeds  
½ tsp. vanilla extract  
Pinch of salt  
Up to 2 tbsp. honey or maple syrup  
 
Optional Mix -ins (these can be added before refrigerating or as toppings later) : 
Fruit (bananas, berries , peaches, apple chunks ) 
Nut butter  
Cocoa powder  
Coconut  
Nuts"
32,32,"Boil the spinach with water in a pressure cooker for 3-4 minutes. Then blend it to form a paste with green chilly and ginger. Add salt, garlic, cumin powder, coriander powder, and turmeric. Heat this mixture on low flame for 5-6 minutes until you smell the fragrance of spices. Add oil when done.""

This recipe is an easy and quick way to make spinach chutney using fresh ingredients.""","Spinach,Green chilly,Ginger,Garlic,Salt,Turmeric","Red chilli powder 1 tspHaldi 1/2 tsp
Dhaniya powder 3/4 tspCumin powder  1/2 tspGaram masala 1/4 tspGreen chillies  1-2
 (chopped)
Ginger 1 inch
Garlic 2-3 cloves
BACK TO INDEXRed chilli powder 1 tspHaldi 1/2 tsp
Dhaniya powder 3/4 tspCumin powder  1/2 tspGaram masala 1/4 tspGreen chillies  1-2
 (chopped)
Ginger 1 inch
Garlic 2-3 cloves
BACK TO INDEX"
33,33,"Heat jaggery till it melts completely, then add ghee and water; mix well. Pour in a hot pan greased with ghee.","Jaggery,Water,Ghee","269
Target Group and 
BenefitsIngredients
	 All	age	group	people
Method of Preparation
	 Heat	jaggery	till	it	melts.
	 Mix	all	ingredients 	into	melted	jaggery	after	
crushing.
	 Form	bars	from	the	mixture.
	 Store	and	pack. Jaggery
 Liq uid glucose
 Ghee
 Peanuts
 R oasted Bengal gram
 Corn flak es
 Puff ed rice
 Spirulina 
 Coc onut flakes
DEVELOPED BY
Centre of Food Science and Technology, IAS, BHU, Varanasi.HIGH PROTEIN SPIRULINA  BAR269
Target Group and 
BenefitsIngredients
	 All	age	group	people
Method of Preparation
	 Heat	jaggery	till	it	melts.
	 Mix	all	ingredients 	into	melted	jaggery	after	
crushing.
	 Form	bars	from	the	mixture.
	 Store	and	pack. Jaggery
 Liq uid glucose
 Ghee
 Peanuts
 R oasted Bengal gram
 Corn flak es
 Puff ed rice
 Spirulina 
 Coc onut flakes
DEVELOPED BY
Centre of Food Science and Technology, IAS, BHU, Varanasi.HIGH PROTEIN SPIRULINA  BAR"
34,34,"1 tsp bicarbonate of soda and 2 tsp vanilla essence can be mixed with one cup brown sugar; one cup of milk can be poured into a bowl where you mix well; pour into an oiled loaf pan; cook for 10 minutes at 350 degrees Fahrenheit until the cake is brown.

This recipe works better if you cut the banana into chunks first, then mash them with a fork, as this makes it easier to stir in the dry ingredients."",
""You can add one cup of chopped walnuts when cooking"",
""or one tsp. of cardamon powder.""]","Baking soda,Baking powder,Cooking oil,Powdered sugar,banana","Baking soda 1 tsp
Brown sugar 1 cup
Vanilla essence 1 tsp
Olive oil 1/2 cup
Milk 1 cup
Vinegar (you can also use  2 tsp
 lemon juice)
Banana (ripe) 3
Cardamon powder 1 tsp
Salt 1 tsp
Walnuts (optional) 1/2 cup
BACK TO INDEXBaking soda 1 tsp
Brown sugar 1 cup
Vanilla essence 1 tsp
Olive oil 1/2 cup
Milk 1 cup
Vinegar (you can also use  2 tsp
 lemon juice)
Banana (ripe) 3
Cardamon powder 1 tsp
Salt 1 tsp
Walnuts (optional) 1/2 cup
BACK TO INDEX"
